Record,Gender,No_kids,Education,HasCar,Income,PropertyValue,Loan_Period,Credit_Record,Housing_type,Property_Purchased
Record1,Female,0,Graduate,No,710,90400,456,1,Affordable,Y
Record8,Male,0,Graduate,No,6516,168800,336,1,Affordable,Y
Record9,Male,0,Graduate,Yes,7040,160000,336,1,Affordable,Y
Record10,Male,0,Not Graduate,No,4730,155200,336,1,Affordable,Y
Record11,Male,0,Graduate,No,9167,149600,336,1,Affordable,Y
Record12,Male,0,Graduate,No,10459,149600,336,1,Affordable,Y
Record13,Male,0,Graduate,No,2888,149600,336,1,Affordable,Y
Record15,Male,0,Graduate,Yes,10960,144000,336,1,Affordable,Y
Record16,Male,0,Graduate,No,8692,144000,336,1,Affordable,Y
Record18,Male,0,Graduate,No,4044,137600,336,1,Affordable,Y
Record25,Male,0,Graduate,No,3045,124000,336,1,Affordable,Y
Record26,Male,0,Not Graduate,Not Answered,3184,124000,336,1,Affordable,Y
Record27,Female,0,Not Graduate,No,4785,123200,336,1,Affordable,Y
Record28,Male,0,Graduate,No,3317,122400,336,1,Affordable,Y
Record29,Male,0,Graduate,Yes,2835,121600,336,1,Affordable,Y
Record30,Male,0,Graduate,No,4505,120800,336,1,Affordable,Y
Record33,Male,0,Graduate,No,2779,116000,336,1,Affordable,Y
Record34,Male,0,Graduate,Yes,7505,112800,336,1,Affordable,Y
Record35,Male,0,Graduate,No,4400,112000,336,1,Affordable,Y
Record36,Male,0,Graduate,No,6600,112000,336,1,Affordable,Y
Record37,Male,0,Graduate,No,3383,111200,336,1,Affordable,Y
Record38,Female,0,Not Graduate,Yes,7857,110400,336,1,Affordable,Y
Record39,Male,0,Graduate,No,6412,110400,336,1,Affordable,Y
Record41,Female,0,Graduate,No,4139,108000,336,1,Affordable,Y
Record42,Female,0,Graduate,No,5500,105600,336,1,Affordable,Y
Record47,Male,0,Graduate,No,2683,103200,336,1,Affordable,Y
Record48,Male,0,Graduate,No,3117,100800,336,1,Affordable,Y
Record49,Male,0,Not Graduate,Not Answered,2805,100800,336,1,Affordable,Y
Record50,Male,0,Graduate,No,6037,100000,336,1,Affordable,Y
Record52,Male,0,Graduate,No,2933,96800,336,1,Affordable,Y
Record53,Female,0,Graduate,No,7920,96000,336,1,Affordable,Y
Record54,Male,0,Graduate,No,4611,96000,336,1,Affordable,Y
Record55,Male,0,Graduate,No,4075,96000,336,1,Affordable,Y
Record57,Male,0,Graduate,Not Answered,3278,96000,336,1,Affordable,Y
Record58,Male,0,Graduate,No,3847,92800,336,1,Affordable,Y
Record60,Male,0,Graduate,No,1128,89600,336,1,Affordable,Y
Record62,Male,0,Not Graduate,No,2479,88000,336,1,Affordable,Y
Record63,Male,0,Not Graduate,No,4061,88000,336,1,Affordable,Y
Record64,Male,0,Graduate,No,3064,88000,336,1,Affordable,Y
Record65,Male,0,Not Graduate,No,4217,88000,336,1,Affordable,Y
Record67,Male,0,Not Graduate,No,4293,87200,336,1,Affordable,Y
Record69,Male,0,Graduate,No,3556,86400,336,1,Affordable,Y
Record70,Male,0,Not Graduate,No,2860,85600,336,1,Affordable,Y
Record72,Male,0,Not Graduate,Yes,2842,83200,336,1,Affordable,Y
Record76,Male,0,Not Graduate,Not Answered,2002,76000,336,1,Affordable,Y
Record77,Male,0,Graduate,No,3474,71200,336,1,Affordable,Y
Record78,Male,0,Graduate,No,3212,69600,336,1,Affordable,Y
Record79,Female,0,Graduate,No,3190,56800,336,1,Affordable,Y
Record80,Female,0,Not Graduate,No,2435,52800,336,1,Affordable,Y
Record81,Female,0,Graduate,No,2758,44800,336,1,Affordable,Y
Record82,Male,0,Not Graduate,No,4373,44000,336,1,Affordable,Y
Record83,Male,0,Not Graduate,No,5374,38400,336,1,Affordable,Y
Record85,Male,0,Graduate,No,10261,150400,156,1,Affordable,Y
Record88,Male,0,Graduate,No,4245,113600,156,1,Affordable,Y
Record89,Male,0,Graduate,Not Answered,4088,33600,156,1,Affordable,Y
Record91,Male,0,Graduate,No,5409,104000,336,0,Affordable,Y
Record92,Male,0,Graduate,No,2732,72000,156,0,Affordable,Y
Record98,Male,0,Graduate,No,16042,348800,336,1,Mid Range,Y
Record99,Male,0,Graduate,Not Answered,14164,324000,336,1,Mid Range,Y
Record100,Male,0,Graduate,No,6536,236800,336,1,Mid Range,Y
Record101,Female,0,Graduate,No,9167,224000,336,1,Mid Range,Y
Record103,Male,0,Graduate,No,5042,204000,336,1,Mid Range,Y
Record107,Male,0,Graduate,No,11917,187200,336,1,Mid Range,Y
Record108,Male,0,Graduate,No,9992,182400,336,1,Mid Range,Y
Record109,Female,0,Not Graduate,Yes,18990,180000,336,1,Mid Range,Y
Record112,Male,0,Graduate,No,4393,165600,336,1,Mid Range,Y
Record117,Male,0,Graduate,Yes,10516,152800,336,1,Mid Range,Y
Record119,Male,0,Graduate,No,6279,149600,336,1,Mid Range,Y
Record120,Male,0,Graduate,No,4026,149600,336,1,Mid Range,Y
Record121,Male,0,Graduate,Yes,6400,147200,336,1,Mid Range,Y
Record122,Female,0,Graduate,No,4598,145600,336,1,Mid Range,Y
Record123,Male,0,Graduate,No,6265,140000,336,1,Mid Range,Y
Record126,Male,0,Graduate,No,2622,137600,336,1,Mid Range,Y
Record128,Male,0,Graduate,No,4276,129600,336,1,Mid Range,Y
Record130,Male,0,Graduate,No,2749,128000,336,1,Mid Range,Y
Record132,Female,0,Graduate,No,3484,123200,336,1,Mid Range,Y
Record134,Male,0,Graduate,No,5328,120800,336,1,Mid Range,Y
Record136,Male,0,Graduate,No,2882,120000,336,1,Mid Range,Y
Record139,Female,0,Graduate,No,4034,115200,336,1,Mid Range,Y
Record140,Female,0,Graduate,No,4400,115200,336,1,Mid Range,Y
Record141,Male,0,Graduate,No,3269,115200,336,1,Mid Range,Y
Record142,Male,0,Graduate,No,2668,114400,336,1,Mid Range,Y
Record144,Female,0,Graduate,Not Answered,3222,111200,336,1,Mid Range,Y
Record145,Male,0,Graduate,No,3571,110400,336,1,Mid Range,Y
Record146,Female,0,Graduate,No,2733,109600,336,1,Mid Range,Y
Record147,Male,0,Graduate,No,2603,108800,336,1,Mid Range,Y
Record148,Male,0,Graduate,No,4336,107200,336,1,Mid Range,Y
Record149,Male,0,Graduate,No,2266,107200,336,1,Mid Range,Y
Record151,Male,0,Not Graduate,Yes,6380,105600,336,1,Mid Range,Y
Record152,Male,0,Not Graduate,No,2581,105600,336,1,Mid Range,Y
Record154,Male,0,Graduate,No,3254,104800,336,1,Mid Range,Y
Record155,Male,0,Graduate,No,1935,104800,336,1,Mid Range,Y
Record156,Male,0,Graduate,No,4100,104800,336,1,Mid Range,Y
Record157,Female,0,Graduate,No,2666,104000,336,1,Mid Range,Y
Record158,Male,0,Not Graduate,No,7462,104000,336,1,Mid Range,Y
Record159,Male,0,Graduate,Yes,5683,102400,336,1,Mid Range,Y
Record160,Male,0,Graduate,No,6875,102400,336,1,Mid Range,Y
Record161,Male,0,Graduate,No,2292,102400,336,1,Mid Range,Y
Record162,Male,0,Graduate,Not Answered,3667,102400,336,1,Mid Range,Y
Record163,Male,0,Graduate,No,5346,100000,336,1,Mid Range,Y
Record166,Male,0,Not Graduate,No,3747,98400,336,1,Mid Range,Y
Record167,Male,0,Graduate,No,3079,97600,336,1,Mid Range,Y
Record168,Male,0,Graduate,No,4547,97600,336,1,Mid Range,Y
Record169,Male,0,Graduate,No,2968,97600,336,1,Mid Range,Y
Record170,Male,0,Graduate,Yes,43062,96000,336,1,Mid Range,Y
Record171,Female,0,Graduate,No,3395,96000,336,1,Mid Range,Y
Record172,Female,0,Not Graduate,No,4849,96000,336,1,Mid Range,Y
Record175,Male,0,Graduate,Not Answered,5555,94400,336,1,Mid Range,Y
Record178,Female,0,Graduate,No,4537,92000,336,1,Mid Range,Y
Record179,Female,0,Graduate,No,5002,92000,336,1,Mid Range,Y
Record180,Male,0,Graduate,No,2640,92000,336,1,Mid Range,Y
Record182,Male,0,Graduate,No,3850,91200,336,1,Mid Range,Y
Record183,Male,0,Graduate,No,4320,89600,336,1,Mid Range,Y
Record184,Female,0,Graduate,No,4231,88800,336,1,Mid Range,Y
Record185,Male,0,Not Graduate,No,3220,88800,336,1,Mid Range,Y
Record186,Male,0,Not Graduate,No,4123,88000,336,1,Mid Range,Y
Record187,Male,0,Graduate,No,4153,88000,336,1,Mid Range,Y
Record188,Female,0,Graduate,No,3988,86400,336,1,Mid Range,Y
Record191,Male,0,Graduate,No,2750,83200,336,1,Mid Range,Y
Record193,Male,0,Graduate,No,2750,82400,336,1,Mid Range,Y
Record194,Male,0,Graduate,No,5385,81600,336,1,Mid Range,Y
Record195,Female,0,Not Graduate,No,2121,80000,336,1,Mid Range,Y
Record196,Female,0,Graduate,No,2563,80000,336,1,Mid Range,Y
Record197,Female,0,Graduate,No,3475,80000,336,1,Mid Range,Y
Record200,Male,0,Not Graduate,No,2050,78400,336,1,Mid Range,Y
Record201,Male,0,Graduate,No,3229,78400,336,1,Mid Range,Y
Record205,Male,0,Graduate,No,2346,76800,336,1,Mid Range,Y
Record206,Male,0,Graduate,No,16368,76800,336,1,Mid Range,Y
Record215,Male,0,Graduate,Yes,7794,67200,336,1,Mid Range,Y
Record216,Female,0,Graduate,No,3209,67200,336,1,Mid Range,Y
Record218,Male,0,Graduate,No,4244,60800,336,1,Mid Range,Y
Record220,Female,0,Graduate,No,4576,56800,336,1,Mid Range,Y
Record221,Female,0,Not Graduate,No,2382,56000,336,1,Mid Range,Y
Record222,Male,0,Graduate,No,2990,56000,336,1,Mid Range,Y
Record223,Female,0,Graduate,Yes,17335,44000,336,1,Mid Range,Y
Record224,Male,0,Graduate,No,2750,44000,336,1,Mid Range,Y
Record225,Female,0,Not Graduate,No,2160,42400,336,1,Mid Range,Y
Record226,Male,0,Graduate,No,2175,40000,336,1,Mid Range,Y
Record227,Male,0,Graduate,No,2119,40000,336,1,Mid Range,Y
Record229,Female,0,Graduate,No,4583,35200,336,1,Mid Range,Y
Record230,Female,0,Graduate,No,3483,28800,336,1,Mid Range,Y
Record233,Male,0,Not Graduate,No,4196,99200,276,1,Mid Range,Y
Record234,Male,0,Graduate,No,3850,64800,276,1,Mid Range,Y
Record237,Male,0,Graduate,Yes,7645,140000,156,1,Mid Range,Y
Record239,Male,0,Not Graduate,No,4607,92000,156,1,Mid Range,Y
Record241,Male,0,Graduate,No,5060,58400,156,1,Mid Range,Y
Record242,Male,0,Graduate,No,3300,44800,156,1,Mid Range,Y
Record243,Male,0,Graduate,Yes,3805,20000,96,1,Mid Range,Y
Record244,Male,0,Not Graduate,No,3982,20000,96,1,Mid Range,Y
Record248,Female,0,Graduate,No,2351,109600,336,0,Mid Range,Y
Record250,Male,0,Graduate,No,6747,259200,336,1,Premium,Y
Record255,Male,0,Graduate,Yes,17732,208000,336,1,Premium,Y
Record256,Female,0,Graduate,No,11449,207200,336,1,Premium,Y
Record260,Male,0,Graduate,No,9423,168000,336,1,Premium,Y
Record263,Male,0,Graduate,Yes,2727,150400,336,1,Premium,Y
Record267,Male,0,Graduate,No,4583,147200,336,1,Premium,Y
Record269,Male,0,Graduate,No,3529,137600,336,1,Premium,Y
Record270,Male,0,Graduate,No,5959,134400,336,1,Premium,Y
Record272,Male,0,Graduate,Not Answered,3501,128800,336,1,Premium,Y
Record275,Female,0,Graduate,No,6600,124800,336,1,Premium,Y
Record277,Male,0,Graduate,No,6404,115200,336,1,Premium,Y
Record279,Male,0,Graduate,No,6600,112800,336,1,Premium,Y
Record280,Male,0,Graduate,No,3491,109600,336,1,Premium,Y
Record281,Male,0,Graduate,No,5848,108800,336,1,Premium,Y
Record282,Male,0,Graduate,No,12261,108800,336,1,Premium,Y
Record283,Male,0,Graduate,No,2567,108800,336,1,Premium,Y
Record287,Male,0,Graduate,No,5225,104000,336,1,Premium,Y
Record289,Male,0,Graduate,Yes,7884,102400,336,1,Premium,Y
Record293,Female,0,Not Graduate,Yes,19982,100000,336,1,Premium,Y
Record294,Male,0,Graduate,No,5445,100000,336,1,Premium,Y
Record295,Male,0,Not Graduate,No,2842,96000,336,1,Premium,Y
Record296,Male,0,Graduate,No,2750,96000,336,1,Premium,Y
Record297,Male,0,Graduate,No,4732,94400,336,1,Premium,Y
Record299,Male,0,Not Graduate,No,2384,92000,336,1,Premium,Y
Record302,Male,0,Graduate,No,3552,88000,336,1,Premium,Y
Record304,Female,0,Graduate,Not Answered,3041,88000,336,1,Premium,Y
Record307,Male,0,Graduate,No,2527,83200,336,1,Premium,Y
Record308,Male,0,Graduate,No,2002,80000,336,1,Premium,Y
Record309,Male,0,Graduate,No,4125,80000,336,1,Premium,Y
Record314,Male,0,Not Graduate,No,2567,76000,336,1,Premium,Y
Record315,Male,0,Graduate,No,3337,76000,336,1,Premium,Y
Record316,Male,0,Graduate,No,1990,72000,336,1,Premium,Y
Record320,Female,0,Graduate,No,3569,64000,336,1,Premium,Y
Record321,Male,0,Graduate,No,3414,64000,336,1,Premium,Y
Record322,Male,0,Graduate,No,2216,59200,336,1,Premium,Y
Record323,Male,0,Graduate,No,3667,56000,336,1,Premium,Y
Record326,Female,0,Graduate,No,2750,53600,336,1,Premium,Y
Record327,Male,0,Graduate,Yes,3300,52800,336,1,Premium,Y
Record328,Female,0,Graduate,No,3295,48000,336,1,Premium,Y
Record329,Male,0,Graduate,No,2727,47200,336,1,Premium,N
Record330,Female,0,Graduate,No,1993,43200,336,1,Premium,N
Record331,Male,0,Graduate,No,3580,40000,336,1,Premium,N
Record332,Male,0,Graduate,No,1980,37600,336,1,Premium,N
Record335,Female,0,Graduate,No,3561,24000,336,1,Premium,N
Record338,Male,0,Graduate,Not Answered,69671,392000,156,1,Premium,N
Record343,Male,0,Graduate,No,5299,96000,156,1,Premium,N
Record347,Male,0,Graduate,No,10256,60000,156,1,Premium,N
Record348,Male,0,Not Graduate,No,2989,48000,156,1,Premium,N
Record351,Male,0,Graduate,No,3262,124000,36,1,Premium,N
Record354,Female,0,Graduate,No,5500,120800,456,1,Affordable,N
Record355,Male,0,Graduate,No,21703,456000,336,1,Affordable,N
Record356,Male,0,Graduate,No,22257,384000,336,1,Affordable,N
Record358,Male,0,Graduate,No,6397,248800,336,1,Affordable,N
Record359,Male,0,Graduate,No,9625,246400,336,1,Affordable,N
Record360,Male,0,Graduate,No,16152,243200,336,1,Affordable,N
Record361,Female,0,Graduate,No,11000,180000,336,1,Affordable,N
Record362,Female,0,Graduate,Yes,8186,155200,336,1,Affordable,N
Record365,Male,0,Graduate,No,6125,140000,336,1,Affordable,N
Record367,Male,0,Graduate,No,3575,136000,336,1,Affordable,N
Record369,Male,0,Graduate,No,3703,108000,336,1,Affordable,N
Record370,Male,0,Graduate,No,165,108000,336,1,Affordable,N
Record371,Female,0,Graduate,Not Answered,3760,108000,336,1,Affordable,N
Record372,Male,0,Not Graduate,No,5376,106400,336,1,Affordable,N
Record373,Male,0,Not Graduate,No,6838,106400,336,1,Affordable,N
Record376,Male,0,Not Graduate,Not Answered,8067,96000,336,1,Affordable,N
Record377,Male,0,Graduate,No,2039,91200,336,1,Affordable,N
Record379,Female,0,Graduate,No,5042,89600,336,1,Affordable,N
Record381,Male,0,Not Graduate,No,3958,80000,336,1,Affordable,N
Record382,Female,0,Not Graduate,No,3740,76000,336,1,Affordable,N
Record383,Female,0,Graduate,No,5042,67200,336,1,Affordable,N
Record385,Male,0,Not Graduate,No,3209,52800,336,1,Affordable,N
Record386,Male,0,Graduate,Not Answered,3893,44000,336,1,Affordable,N
Record387,Female,0,Graduate,No,2616,36800,336,1,Affordable,N
Record388,Male,0,Not Graduate,No,3031,52000,276,1,Affordable,N
Record393,Male,0,Not Graduate,No,6706,174400,336,0,Affordable,N
Record394,Male,0,Graduate,No,6912,167200,336,0,Affordable,N
Record396,Male,0,Graduate,No,4343,119200,336,0,Affordable,N
Record400,Male,0,Graduate,No,3957,95200,336,0,Affordable,N
Record401,Male,0,Graduate,No,6905,94400,336,0,Affordable,N
Record402,Male,0,Not Graduate,No,6650,92000,336,0,Affordable,N
Record404,Female,0,Graduate,Yes,6050,84000,336,0,Affordable,N
Record405,Male,0,Graduate,No,7150,84000,336,0,Affordable,N
Record408,Male,0,Not Graduate,Yes,2870,132000,156,0,Affordable,N
Record409,Male,0,Graduate,No,3953,105600,156,0,Affordable,N
Record412,Male,0,Graduate,No,2750,76800,456,1,Mid Range,N
Record416,Male,0,Graduate,No,6299,206400,336,1,Mid Range,N
Record417,Female,0,Graduate,No,11000,171200,336,1,Mid Range,N
Record418,Male,0,Graduate,No,5152,148000,336,1,Mid Range,N
Record420,Male,0,Graduate,No,13200,131200,336,1,Mid Range,N
Record421,Male,0,Graduate,No,9168,128000,336,1,Mid Range,N
Record423,Male,0,Graduate,No,3760,101600,336,1,Mid Range,N
Record424,Female,0,Graduate,No,4653,89600,336,1,Mid Range,N
Record425,Male,0,Not Graduate,Yes,4779,69600,336,1,Mid Range,N
Record428,Female,0,Graduate,Yes,2860,79200,276,1,Mid Range,N
Record430,Male,0,Graduate,No,2343,56000,156,1,Mid Range,N
Record432,Male,0,Not Graduate,No,3694,64000,12,1,Mid Range,N
Record433,Male,0,Graduate,No,2461,50400,456,0,Mid Range,N
Record435,Male,0,Graduate,No,16499,193600,336,0,Mid Range,N
Record436,Male,0,Not Graduate,No,1835,160800,336,0,Mid Range,N
