Area Code;State
203;Connecticut
206;Washington
209;California
210;Texas
212;New York
213;California
214;Texas
216;Ohio
217;Illinois
224;Illinois
225;Louisiana
234;Ohio
239;Florida
253;Washington
254;Texas
262;Wisconsin
281;Texas
303;Colorado
305;Florida
309;Illinois
310;California
312;Illinois
314;Missouri
315;New York
318;Louisiana
319;Iowa
321;Florida
323;California
325;Texas
330;Ohio
337;Louisiana
339;Massachusetts
347;New York
351;Massachusetts
352;Florida
360;Washington
361;Texas
386;Florida
405;Oklahoma
407;Florida
408;California
409;Texas
413;Massachusetts
414;Wisconsin
415;California
417;Missouri
419;Ohio
425;Washington
430;Texas
432;Texas
435;Utah
440;Ohio
469;Texas
475;Connecticut
503;Oregon
504;Louisiana
505;New Mexico
508;Massachusetts
509;Washington
510;California
512;Texas
513;Ohio
515;Iowa
516;New York
518;New York
530;California
541;Oregon
559;California
561;Florida
562;California
563;Iowa
567;Ohio
573;Missouri
580;Oklahoma
585;New York
603;New Hampshire
607;New York
608;Wisconsin
614;Ohio
617;Massachusetts
618;Illinois
619;California
626;California
630;Illinois
631;New York
636;Missouri
641;Iowa
646;New York
650;California
660;Missouri
661;California
682;Texas
702;Nevada
707;California
708;Illinois
712;Iowa
713;Texas
714;California
715;Wisconsin
716;New York
718;New York
719;Colorado
720;Colorado
727;Florida
740;Ohio
754;Florida
760;California
772;Florida
773;Illinois
774;Massachusetts
775;Nevada
781;Massachusetts
786;Florida
801;Utah
805;California
806;Texas
813;Florida
815;Illinois
816;Missouri
817;Texas
818;California
830;Texas
831;California
832;Texas
845;New York
847;Illinois
850;Florida
857;Massachusetts
858;California
860;Connecticut
863;Florida
903;Texas
904;Florida
909;California
914;New York
915;Texas
916;California
917;New York
918;Oklahoma
920;Wisconsin
925;California
936;Texas
937;Ohio
940;Texas
941;Florida
949;California
951;California
954;Florida
956;Texas
959;Connecticut
970;Colorado
971;Oregon
972;Texas
978;Massachusetts
979;Texas
985;Louisiana